TIME 16:59:13: CPU 2 %, RAM 8.67% %, HDD 17 %
TIME 16:59:14: CPU 4 %, RAM 8.67% %, HDD 17 %
TIME 16:59:15: CPU 2 %, RAM 8.67% %, HDD 17 %
TIME 16:59:16: CPU 2 %, RAM 8.67% %, HDD 17 %
TIME 16:59:17: CPU 1 %, RAM 8.67% %, HDD 17 %
TIME 16:59:18: CPU 3 %, RAM 8.67% %, HDD 17 %
TIME 16:59:19: CPU 13 %, RAM 8.75% %, HDD 17 %
TIME 16:59:20: CPU 11 %, RAM 8.75% %, HDD 17 %
TIME 16:59:21: CPU 2 %, RAM 8.72% %, HDD 17 %
TIME 16:59:22: CPU 4 %, RAM 8.75% %, HDD 17 %
TIME 16:59:23: CPU 2 %, RAM 8.75% %, HDD 17 %
TIME 16:59:24: CPU 2 %, RAM 8.72% %, HDD 17 %
TIME 16:59:25: CPU 2 %, RAM 8.75% %, HDD 17 %
TIME 16:59:26: CPU 3 %, RAM 8.75% %, HDD 17 %
TIME 16:59:27: CPU 3 %, RAM 8.75% %, HDD 17 %
TIME 16:59:28: CPU 3 %, RAM 8.75% %, HDD 17 %
TIME 16:59:29: CPU 3 %, RAM 8.72% %, HDD 17 %
TIME 16:59:30: CPU 3 %, RAM 8.72% %, HDD 17 %
TIME 16:59:31: CPU 2 %, RAM 8.72% %, HDD 17 %
TIME 16:59:32: CPU 2 %, RAM 8.72% %, HDD 17 %
TIME 16:59:33: CPU 3 %, RAM 8.72% %, HDD 17 %
TIME 16:59:34: CPU 3 %, RAM 8.75% %, HDD 17 %
TIME 16:59:35: CPU 3 %, RAM 8.72% %, HDD 17 %
TIME 16:59:36: CPU 3 %, RAM 8.72% %, HDD 17 %
TIME 16:59:37: CPU 3 %, RAM 8.75% %, HDD 17 %
TIME 16:59:38: CPU 3 %, RAM 8.72% %, HDD 17 %
TIME 16:59:39: CPU 3 %, RAM 8.75% %, HDD 17 %
TIME 16:59:40: CPU 3 %, RAM 8.72% %, HDD 17 %
TIME 16:59:41: CPU 3 %, RAM 8.75% %, HDD 17 %
TIME 16:59:42: CPU 22 %, RAM 9.63% %, HDD 17 %
TIME 16:59:44: CPU 57 %, RAM 11.51% %, HDD 17 %
TIME 16:59:45: CPU 23 %, RAM 8.87% %, HDD 17 %
TIME 16:59:46: CPU 2 %, RAM 8.87% %, HDD 17 %
TIME 16:59:47: CPU 2 %, RAM 8.85% %, HDD 17 %
TIME 16:59:48: CPU 2 %, RAM 8.85% %, HDD 17 %
TIME 16:59:49: CPU 2 %, RAM 8.87% %, HDD 17 %
TIME 16:59:50: CPU 3 %, RAM 8.87% %, HDD 17 %
TIME 16:59:51: CPU 2 %, RAM 8.85% %, HDD 17 %
TIME 16:59:52: CPU 4 %, RAM 8.85% %, HDD 17 %
TIME 16:59:53: CPU 2 %, RAM 8.87% %, HDD 17 %
TIME 16:59:54: CPU 2 %, RAM 8.87% %, HDD 17 %
TIME 16:59:55: CPU 3 %, RAM 8.85% %, HDD 17 %
TIME 16:59:56: CPU 3 %, RAM 8.85% %, HDD 17 %
TIME 16:59:57: CPU 2 %, RAM 8.85% %, HDD 17 %
TIME 16:59:58: CPU 2 %, RAM 8.85% %, HDD 17 %
TIME 16:59:59: CPU 1 %, RAM 8.85% %, HDD 17 %
TIME 17:00:00: CPU 2 %, RAM 8.85% %, HDD 17 %
TIME 17:00:01: CPU 3 %, RAM 8.85% %, HDD 17 %
TIME 17:00:02: CPU 2 %, RAM 8.85% %, HDD 17 %
TIME 17:00:03: CPU 3 %, RAM 8.85% %, HDD 17 %
TIME 17:00:04: CPU 2 %, RAM 8.85% %, HDD 17 %
TIME 17:00:05: CPU 3 %, RAM 8.85% %, HDD 17 %
TIME 17:00:06: CPU 2 %, RAM 8.85% %, HDD 17 %
TIME 17:00:07: CPU 2 %, RAM 8.85% %, HDD 17 %
TIME 17:00:08: CPU 1 %, RAM 8.85% %, HDD 17 %
TIME 17:00:09: CPU 4 %, RAM 8.85% %, HDD 17 %
TIME 17:00:10: CPU 1 %, RAM 8.85% %, HDD 17 %
TIME 17:00:11: CPU 3 %, RAM 8.87% %, HDD 17 %
TIME 17:00:12: CPU 2 %, RAM 8.87% %, HDD 17 %
TIME 17:00:13: CPU 2 %, RAM 8.87% %, HDD 17 %
TIME 17:00:14: CPU 3 %, RAM 8.87% %, HDD 17 %
TIME 17:00:15: CPU 2 %, RAM 8.85% %, HDD 17 %
TIME 17:00:16: CPU 2 %, RAM 8.85% %, HDD 17 %
TIME 17:00:17: CPU 2 %, RAM 8.85% %, HDD 17 %
TIME 17:00:18: CPU 2 %, RAM 8.85% %, HDD 17 %
TIME 17:00:19: CPU 3 %, RAM 8.85% %, HDD 17 %
TIME 17:00:20: CPU 2 %, RAM 8.85% %, HDD 17 %
TIME 17:00:21: CPU 3 %, RAM 8.85% %, HDD 17 %
TIME 17:00:22: CPU 2 %, RAM 8.85% %, HDD 17 %
TIME 17:00:23: CPU 2 %, RAM 8.85% %, HDD 17 %
TIME 17:00:24: CPU 2 %, RAM 8.85% %, HDD 17 %
TIME 17:00:25: CPU 3 %, RAM 8.85% %, HDD 17 %
TIME 17:00:26: CPU 3 %, RAM 8.85% %, HDD 17 %
TIME 17:00:27: CPU 3 %, RAM 8.85% %, HDD 17 %
TIME 17:00:28: CPU 2 %, RAM 8.85% %, HDD 17 %
TIME 17:00:29: CPU 2 %, RAM 8.85% %, HDD 17 %
TIME 17:00:30: CPU 2 %, RAM 8.85% %, HDD 17 %
TIME 17:00:31: CPU 2 %, RAM 8.87% %, HDD 17 %
TIME 17:00:32: CPU 1 %, RAM 8.85% %, HDD 17 %
